1 sink_xan_c|Intracellular Constraint::xan_c --> []
931 SPC_HSt|Transport_ Extracellular_reverse::spc_hs_e --> spc_hs_c
932 SPHK21c|Sphingolipid Metabolism::sphings_c+atp_c --> h_c+adp_c+sphs1p_c
933 SPHS1Pte|Transport_ Extracellular::sphs1p_c --> sphs1p_e
934 SPHS1Pte|Transport_ Extracellular_reverse::sphs1p_e --> sphs1p_c
935 SPODM|ROS Detoxification::2.0*o2s_c+2.0*h_c --> o2_c+h2o2_c
936 SPODMm|ROS Detoxification::2.0*o2s_m+2.0*h_m --> o2_m+h2o2_m
937 SPODMx|ROS Detoxification::2.0*o2s_x+2.0*h_x --> o2_x+h2o2_x
938 SRTNt6_2r|Transport_ Extracellular::2.0*na1_e+srtn_e+2.0*k_c --> 2.0*na1_c+srtn_c+2.0*k_e
939 SRTNt6_2r|Transport_ Extracellular_reverse::2.0*na1_c+srtn_c+2.0*k_e --> 2.0*na1_e+srtn_e+2.0*k_c
940 SSALxm|Glutamate metabolism::h2o_m+nad_m+sucsal_m --> nadh_m+2.0*h_m+succ_m
941 STS2|Steroid Metabolism::h2o_c+estrones_c --> so4_c+estrone_c+h_c
942 SUCCt2m|Transport_ Mitochondrial::pi_m+succ_c --> pi_c+succ_m
943 SUCCt2m|Transport_ Mitochondrial_reverse::pi_c+succ_m --> pi_m+succ_c
944 SUCCt4_2|Transport_ Extracellular::2.0*na1_e+succ_e --> 2.0*na1_c+succ_c
945 SUCCt4_2|Transport_ Extracellular_reverse::2.0*na1_c+succ_c --> 2.0*na1_e+succ_e
946 SUCCt4_3|Transport_ Extracellular::3.0*na1_e+succ_e --> 3.0*na1_c+succ_c
947 SUCCt4_3|Transport_ Extracellular_reverse::3.0*na1_c+succ_c --> 3.0*na1_e+succ_e
948 SUCD1m|Citric Acid Cycle::fad_m+succ_m --> fadh2_m+fum_m
949 SUCD1m|Citric Acid Cycle_reverse::fadh2_m+fum_m --> fad_m+succ_m
950 SUCOAS1m|Citric Acid Cycle::gtp_m+coa_m+succ_m --> gdp_m+pi_m+succoa_m
951 SUCOAS1m|Citric Acid Cycle_reverse::gdp_m+pi_m+succoa_m --> gtp_m+coa_m+succ_m
952 SULFOX|Cysteine Metabolism::h2o_c+so3_c+2.0*ficytC_m --> so4_c+2.0*focytC_m+2.0*h_c
953 TALA|Pentose Phosphate Pathway::s7p_c+g3p_c --> f6p_c+e4p_c
954 TALA|Pentose Phosphate Pathway_reverse::f6p_c+e4p_c --> s7p_c+g3p_c
955 TCYNTt|Transport_ Extracellular::tcynt_c --> tcynt_e
956 TCYNTtm|Transport_ Mitochondrial::tcynt_m --> tcynt_c
957 THBPT4ACAMDASE|Tetrahydrobiopterin::thbpt4acam_c --> h2o_c+dhbpt_c
958 THFtm|Transport_ Mitochondrial::thf_c --> thf_m
959 THFtm|Transport_ Mitochondrial_reverse::thf_m --> thf_c
960 THMDt4|Transport_ Extracellular::na1_e+thymd_e --> na1_c+thymd_c
961 THMDt5|Transport_ Extracellular::2.0*na1_e+thymd_e --> 2.0*na1_c+thymd_c
962 THYMDt1|Transport_ Extracellular::thymd_e --> thymd_c
963 THYMt|Transport_ Extracellular::thym_e --> thym_c
964 THYMt|Transport_ Extracellular_reverse::thym_c --> thym_e
965 TKT1|Pentose Phosphate Pathway::xu5p_D_c+r5p_c --> s7p_c+g3p_c
966 TKT1|Pentose Phosphate Pathway_reverse::s7p_c+g3p_c --> xu5p_D_c+r5p_c
967 TKT2|Pentose Phosphate Pathway::xu5p_D_c+e4p_c --> f6p_c+g3p_c
968 TKT2|Pentose Phosphate Pathway_reverse::f6p_c+g3p_c --> xu5p_D_c+e4p_c
969 TMDPP|Pyrimidine Catabolism::thymd_c+pi_c --> 2dr1p_c+thym_c
970 TMDPP|Pyrimidine Catabolism_reverse::2dr1p_c+thym_c --> thymd_c+pi_c
971 TPI|Glycolysis/Gluconeogenesis::dhap_c --> g3p_c
972 TPI|Glycolysis/Gluconeogenesis_reverse::g3p_c --> dhap_c
973 TRIOK|Fructose and Mannose Metabolism::atp_c+glyald_c --> h_c+adp_c+g3p_c
974 TRPHYDRO2|Tryptophan metabolism::trp_L_c+o2_c+thbpt_c --> 5htrp_c+thbpt4acam_c
975 TRPt|Transport_ Extracellular::trp_L_e --> trp_L_c
976 TRPt|Transport_ Extracellular_reverse::trp_L_c --> trp_L_e
977 TRPt4|Transport_ Extracellular::trp_L_e+na1_e --> trp_L_c+na1_c
978 TRPt4|Transport_ Extracellular_reverse::trp_L_c+na1_c --> trp_L_e+na1_e
979 TRYPTAOX|Tryptophan metabolism::o2_c+h2o_c+trypta_c --> h2o2_c+nh4_c+id3acald_c
980 TSULt4_3|Transport_ Extracellular::3.0*na1_e+tsul_e --> 3.0*na1_c+tsul_c
981 TSULt4_3|Transport_ Extracellular_reverse::3.0*na1_c+tsul_c --> 3.0*na1_e+tsul_e
982 TXA2te|Transport_ Extracellular::txa2_e --> txa2_c
983 TXA2te|Transport_ Extracellular_reverse::txa2_c --> txa2_e
984 TXA2tr|Transport_ Endoplasmic Reticular::txa2_c --> txa2_r
985 TXA2tr|Transport_ Endoplasmic Reticular_reverse::txa2_r --> txa2_c
986 TXASr|Eicosanoid Metabolism::prostgh2_r --> txa2_r
987 TXBS|Eicosanoid Metabolism::txa2_c+h2o_c+h_c --> txb2_c
988 TYMSFt|Transport_ Extracellular::tymsf_c --> tymsf_e
989 TYMSULT|Tyrosine metabolism::paps_c+tym_c --> pap_c+tymsf_c+h_c
990 TYR3MO2|Tyrosine metabolism::o2_c+thbpt_c+tyr_L_c --> thbpt4acam_c+34dhphe_c
991 TYRCBOX|Tyrosine metabolism::tyr_L_c+h_c --> tym_c+co2_c
992 TYRDOPO|Tyrosine metabolism::o2_c+2.0*tyr_L_c --> 2.0*34dhphe_c
993 TYROXDAc|Tyrosine metabolism::o2_c+h2o_c+tym_c --> h2o2_c+nh4_c+4hoxpacd_c
994 TYRTA|Tyrosine metabolism::tyr_L_c+akg_c --> 34hpp_c+glu_L_c
995 TYRTA|Tyrosine metabolism_reverse::34hpp_c+glu_L_c --> tyr_L_c+akg_c
996 TYRt|Transport_ Extracellular::tyr_L_e --> tyr_L_c
997 TYRt|Transport_ Extracellular_reverse::tyr_L_c --> tyr_L_e
998 TYRt4|Transport_ Extracellular::na1_e+tyr_L_e --> na1_c+tyr_L_c
999 TYRt4|Transport_ Extracellular_reverse::na1_c+tyr_L_c --> na1_e+tyr_L_e
1000 UDPG4E|Galactose metabolism::udpg_c --> udpgal_c
1001 UDPG4E|Galactose metabolism_reverse::udpgal_c --> udpg_c
1002 UGLT|Galactose metabolism::gal1p_c+udpg_c --> udpgal_c+g1p_c
1003 UGLT|Galactose metabolism_reverse::udpgal_c+g1p_c --> gal1p_c+udpg_c
1004 UMPK|Nucleotides::ump_c+atp_c --> udp_c+adp_c
1005 UMPK|Nucleotides_reverse::udp_c+adp_c --> ump_c+atp_c
1006 UMPK2|Nucleotides::ump_c+ctp_c --> cdp_c+udp_c
1007 UMPK2|Nucleotides_reverse::cdp_c+udp_c --> ump_c+ctp_c
1008 UMPK3|Nucleotides::ump_c+utp_c --> 2.0*udp_c
1009 UMPK3|Nucleotides_reverse::2.0*udp_c --> ump_c+utp_c
1010 UMPK4|Nucleotides::ump_c+gtp_c --> gdp_c+udp_c
1011 UMPK4|Nucleotides_reverse::gdp_c+udp_c --> ump_c+gtp_c
1012 UPP3S|Heme Biosynthesis::hmbil_c --> h2o_c+uppg3_c
1013 UPPDC1|Heme Biosynthesis::uppg3_c+4.0*h_c --> 4.0*co2_c+cpppg3_c
1014 UPPN|Pyrimidine Catabolism::h2o_c+2.0*h_c+cala_c --> ala_B_c+nh4_c+co2_c
1015 URATEt|Transport_ Extracellular::urate_c --> urate_e
1016 URATEt|Transport_ Extracellular_reverse::urate_e --> urate_c
1017 URATEtx|Transport_ Peroxisomal::urate_x --> urate_c
1018 URATEtx|Transport_ Peroxisomal_reverse::urate_c --> urate_x
1019 URAt|Transport_ Extracellular::ura_e --> ura_c
1020 URAt|Transport_ Extracellular_reverse::ura_c --> ura_e
1021 UREAt|Transport_ Extracellular::urea_e --> urea_c
1022 UREAt|Transport_ Extracellular_reverse::urea_c --> urea_e
1023 UREAt5|Transport_ Extracellular::urea_e+h2o_e --> urea_c+h2o_c
1024 UREAt5|Transport_ Extracellular_reverse::urea_c+h2o_c --> urea_e+h2o_e
1025 URIK1|Pyrimidine Biosynthesis::uri_c+atp_c --> ump_c+h_c+adp_c
1026 URIt|Transport_ Extracellular::uri_e --> uri_c
1027 URIt|Transport_ Extracellular_reverse::uri_c --> uri_e
1028 URIt4|Transport_ Extracellular::uri_e+na1_e --> uri_c+na1_c
1029 URIt4|Transport_ Extracellular_reverse::uri_c+na1_c --> uri_e+na1_e
1030 URIt5|Transport_ Extracellular::uri_e+2.0*na1_e --> uri_c+2.0*na1_c
1031 URIt5|Transport_ Extracellular_reverse::uri_c+2.0*na1_c --> uri_e+2.0*na1_e
1032 VALTA|Valine_ Leucine_ and Isoleucine Metabolism::val_L_c+akg_c --> 3mob_c+glu_L_c
1033 VALTA|Valine_ Leucine_ and Isoleucine Metabolism_reverse::3mob_c+glu_L_c --> val_L_c+akg_c
1034 VALt4|Transport_ Extracellular::val_L_e+na1_e --> val_L_c+na1_c
1035 VALt4|Transport_ Extracellular_reverse::val_L_c+na1_c --> val_L_e+na1_e
1036 VALtec|Transport_ Extracellular::val_L_e --> val_L_c
1037 VALtec|Transport_ Extracellular_reverse::val_L_c --> val_L_e
1038 XANtx|Transport_ Peroxisomal::xan_c --> xan_x
1039 XANtx|Transport_ Peroxisomal_reverse::xan_x --> xan_c
1040 XAOx|Purine Catabolism::o2_x+h2o_x+xan_x --> h2o2_x+urate_x
1041 XAOx|Purine Catabolism_reverse::h2o2_x+urate_x --> o2_x+h2o_x+xan_x
1042 XYLK|Pentose and Glucuronate Interconversions::atp_c+xylu_D_c --> xu5p_D_c+h_c+adp_c
1043 XYLTD_Dr|Pentose and Glucuronate Interconversions::xylt_c+nad_c --> nadh_c+h_c+xylu_D_c
1044 XYLTD_Dr|Pentose and Glucuronate Interconversions_reverse::nadh_c+h_c+xylu_D_c --> xylt_c+nad_c
1045 XYLUR|Pentose and Glucuronate Interconversions::h_c+nadph_c+xylu_L_c --> nadp_c+xylt_c
1046 XYLUR|Pentose and Glucuronate Interconversions_reverse::nadp_c+xylt_c --> h_c+nadph_c+xylu_L_c
1047 sink_etha|Intracellular Constraint::etha_c --> []
1048 sink_etha|Intracellular Constraint_reverse::[] --> etha_c
1049 EX_3mob_e|Extracellular exchange::3mob_c --> []
1050 EX_3mob_e|Extracellular exchange_reverse::[] --> 3mob_c
1051 EX_5oxpro_e|Extracellular exchange::5oxpro_c --> []
1052 EX_5oxpro_e|Extracellular exchange_reverse::[] --> 5oxpro_c
1053 EX_acrn_e|Extracellular exchange::acrn_c --> []
1054 EX_acrn_e|Extracellular exchange_reverse::[] --> acrn_c
1055 EX_ahcys_e|Extracellular exchange::ahcys_c --> []
1056 EX_ahcys_e|Extracellular exchange_reverse::[] --> ahcys_c
1057 EX_cdpea_e|Extracellular exchange::cdpea_c --> []
1058 EX_cdpea_e|Extracellular exchange_reverse::[] --> cdpea_c
1059 EX_cholp_e|Extracellular exchange::cholp_c --> []
1060 EX_cholp_e|Extracellular exchange_reverse::[] --> cholp_c
1061 EX_citr_L_e|Extracellular exchange::citr_L_c --> []
1062 EX_citr_L_e|Extracellular exchange_reverse::[] --> citr_L_c
1063 EX_fum_e|Extracellular exchange::fum_c --> []
1064 EX_fum_e|Extracellular exchange_reverse::[] --> fum_c
1065 EX_pmtcrn_e|Extracellular exchange::pmtcrn_c --> []
1066 EX_pmtcrn_e|Extracellular exchange_reverse::[] --> pmtcrn_c
1067 GPAM_hs_16_0|Expanded DAG metabolism::glyc3p_c+pmtcoa_c --> coa_c+alpha_hs_16_0_c
1068 LPS3_hs_16_0|Expanded DAG metabolism::h2o_c+mag_hs_16_0_c --> glyc_c+hdca_c+h_c
1069 LPASE_16_0|Expanded Phospholipid metabolism::h2o_c+lpchol_hs_16_0_c --> hdca_c+h_c+g3pc_c
1070 GPAM_hs_18_0|Expanded DAG metabolism::glyc3p_c+stcoa_c --> coa_c+alpha_hs_18_0_c
1071 LPS3_hs_18_0|Expanded DAG metabolism::h2o_c+mag_hs_18_0_c --> glyc_c+h_c+ocdca_c
1072 LPASE_18_0|Expanded Phospholipid metabolism::h2o_c+lpchol_hs_18_0_c --> h_c+ocdca_c+g3pc_c
1073 GPAM_hs_18_1|Expanded DAG metabolism::glyc3p_c+odecoa_c --> coa_c+alpha_hs_18_1_c
1074 LPS3_hs_18_1|Expanded DAG metabolism::h2o_c+mag_hs_18_1_c --> ocdcea_c+glyc_c+h_c
1075 LPASE_18_1|Expanded Phospholipid metabolism::h2o_c+lpchol_hs_18_1_c --> ocdcea_c+h_c+g3pc_c
1076 GPAM_hs_18_2|Expanded DAG metabolism::glyc3p_c+lnlccoa_c --> coa_c+alpha_hs_18_2_c
1077 LPS3_hs_18_2|Expanded DAG metabolism::h2o_c+mag_hs_18_2_c --> glyc_c+lnlc_c+h_c
1078 LPASE_18_2|Expanded Phospholipid metabolism::h2o_c+lpchol_hs_18_2_c --> lnlc_c+h_c+g3pc_c
1079 GPAM_hs_20_4|Expanded DAG metabolism::glyc3p_c+arachdcoa_c --> coa_c+alpha_hs_20_4_c
1080 LPS3_hs_20_4|Expanded DAG metabolism::h2o_c+mag_hs_20_4_c --> glyc_c+h_c+arachd_c
1081 LPASE_20_4|Expanded Phospholipid metabolism::h2o_c+lpchol_hs_20_4_c --> h_c+arachd_c+g3pc_c
1082 AGPAT1_16_0_16_0|Expanded DAG metabolism::pmtcoa_c+alpha_hs_16_0_c --> coa_c+pa_hs_16_0_16_0_c
1083 PPAP_16_0_16_0|Expanded DAG metabolism::h2o_c+pa_hs_16_0_16_0_c --> dag_hs_16_0_16_0_c+pi_c
1084 CEPTE_16_0_16_0|Expanded Phospholipid metabolism::dag_hs_16_0_16_0_c+cdpea_c --> cmp_c+pe_hs_16_0_16_0_c+h_c
1085 PSSA2_hs_16_0_16_0|Expanded Phospholipid metabolism::ser_L_c+pe_hs_16_0_16_0_c --> ps_hs_16_0_16_0_c+etha_c
1086 PSSA2_hs_16_0_16_0|Expanded Phospholipid metabolism_reverse::ps_hs_16_0_16_0_c+etha_c --> ser_L_c+pe_hs_16_0_16_0_c
1087 PSSA1_hs_16_0_16_0|Expanded Phospholipid metabolism::chol_c+ps_hs_16_0_16_0_c --> ser_L_c+pchol_hs_16_0_16_0_c
1088 PSSA1_hs_16_0_16_0|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_16_0_16_0_c --> chol_c+ps_hs_16_0_16_0_c
1089 CEPTC_16_0_16_0|Expanded Phospholipid metabolism::dag_hs_16_0_16_0_c+cdpchol_c --> cmp_c+h_c+pchol_hs_16_0_16_0_c
1090 PLA2_2_16_0_16_0|Expanded Phospholipid metabolism::h2o_c+pchol_hs_16_0_16_0_c --> lpchol_hs_16_0_c+hdca_c+h_c
1091 DAGK_hs_16_0_16_0|Expanded DAG metabolism::pa_hs_16_0_16_0_c+h_c+adp_c --> dag_hs_16_0_16_0_c+atp_c
1092 DAGK_hs_16_0_16_0|Expanded DAG metabolism_reverse::dag_hs_16_0_16_0_c+atp_c --> pa_hs_16_0_16_0_c+h_c+adp_c
1093 LPS2_16_0_16_0|Expanded DAG metabolism::h2o_c+dag_hs_16_0_16_0_c --> hdca_c+mag_hs_16_0_c+h_c
1094 CDS_16_0_16_0|Expanded Glycerophospholipid metabolism::ctp_c+pa_hs_16_0_16_0_c+h_c --> ppi_c+cdpdag_hs_16_0_16_0_c
1095 CDIPTr_16_0_16_0|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_16_0_16_0_c --> cmp_c+h_c+pail_hs_16_0_16_0_c
1096 PIPLC_16_0_16_0|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_16_0_16_0_c --> mi1p_D_c+dag_hs_16_0_16_0_c+h_c
1097 PIK4_16_0_16_0|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_16_0_16_0_c --> pail4p_hs_16_0_16_0_c+h_c+adp_c
1098 PI4PLC_16_0_16_0|Expanded Glycerophospholipid metabolism::pail4p_hs_16_0_16_0_c+h2o_c --> dag_hs_16_0_16_0_c+h_c+mi14p_c
1099 PI4P3K_16_0_16_0|Expanded Glycerophospholipid metabolism::pail4p_hs_16_0_16_0_c+atp_c --> h_c+adp_c+pail34p_hs_16_0_16_0_c
1100 PI34P5K_16_0_16_0|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_16_0_16_0_c --> pail345p_hs_16_0_16_0_c+h_c+adp_c
1101 PI4P5K_16_0_16_0|Expanded Glycerophospholipid metabolism::pail45p_hs_16_0_16_0_c+atp_c --> pail345p_hs_16_0_16_0_c+h_c+adp_c
1102 PI345P3P_16_0_16_0|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_16_0_16_0_c --> pail45p_hs_16_0_16_0_c+pi_c
1103 PI45PLC_16_0_16_0|Expanded Glycerophospholipid metabolism::pail45p_hs_16_0_16_0_c+h2o_c --> dag_hs_16_0_16_0_c+h_c+mi145p_c
1104 AGPAT1_16_0_18_0|Expanded DAG metabolism::stcoa_c+alpha_hs_16_0_c --> pa_hs_16_0_18_0_c+coa_c
1105 PPAP_16_0_18_0|Expanded DAG metabolism::h2o_c+pa_hs_16_0_18_0_c --> pi_c+dag_hs_16_0_18_0_c
1106 CEPTE_16_0_18_0|Expanded Phospholipid metabolism::cdpea_c+dag_hs_16_0_18_0_c --> pe_hs_16_0_18_0_c+cmp_c+h_c
1107 PSSA2_hs_16_0_18_0|Expanded Phospholipid metabolism::pe_hs_16_0_18_0_c+ser_L_c --> etha_c+ps_hs_16_0_18_0_c
1108 PSSA2_hs_16_0_18_0|Expanded Phospholipid metabolism_reverse::etha_c+ps_hs_16_0_18_0_c --> pe_hs_16_0_18_0_c+ser_L_c
1109 PSSA1_hs_16_0_18_0|Expanded Phospholipid metabolism::chol_c+ps_hs_16_0_18_0_c --> ser_L_c+pchol_hs_16_0_18_0_c
1110 PSSA1_hs_16_0_18_0|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_16_0_18_0_c --> chol_c+ps_hs_16_0_18_0_c
1111 CEPTC_16_0_18_0|Expanded Phospholipid metabolism::dag_hs_16_0_18_0_c+cdpchol_c --> cmp_c+pchol_hs_16_0_18_0_c+h_c
1112 PLA2_2_16_0_18_0|Expanded Phospholipid metabolism::h2o_c+pchol_hs_16_0_18_0_c --> lpchol_hs_16_0_c+h_c+ocdca_c
1113 DAGK_hs_16_0_18_0|Expanded DAG metabolism::pa_hs_16_0_18_0_c+h_c+adp_c --> atp_c+dag_hs_16_0_18_0_c
1114 DAGK_hs_16_0_18_0|Expanded DAG metabolism_reverse::atp_c+dag_hs_16_0_18_0_c --> pa_hs_16_0_18_0_c+h_c+adp_c
1115 LPS2_16_0_18_0|Expanded DAG metabolism::h2o_c+dag_hs_16_0_18_0_c --> mag_hs_16_0_c+h_c+ocdca_c
1116 CDS_16_0_18_0|Expanded Glycerophospholipid metabolism::pa_hs_16_0_18_0_c+ctp_c+h_c --> ppi_c+cdpdag_hs_16_0_18_0_c
1117 CDIPTr_16_0_18_0|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_16_0_18_0_c --> cmp_c+pail_hs_16_0_18_0_c+h_c
1118 PIPLC_16_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_16_0_18_0_c --> mi1p_D_c+h_c+dag_hs_16_0_18_0_c
1119 PIK4_16_0_18_0|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_16_0_18_0_c --> h_c+adp_c+pail4p_hs_16_0_18_0_c
1120 PI4PLC_16_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_16_0_18_0_c --> h_c+dag_hs_16_0_18_0_c+mi14p_c
1121 PI4P3K_16_0_18_0|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_16_0_18_0_c --> h_c+pail34p_hs_16_0_18_0_c+adp_c
1122 PI34P5K_16_0_18_0|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_16_0_18_0_c --> pail345p_hs_16_0_18_0_c+h_c+adp_c
1123 PI4P5K_16_0_18_0|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_16_0_18_0_c --> pail345p_hs_16_0_18_0_c+h_c+adp_c
1124 PI345P3P_16_0_18_0|Expanded Glycerophospholipid metabolism::pail345p_hs_16_0_18_0_c+h2o_c --> pi_c+pail45p_hs_16_0_18_0_c
1125 PI45PLC_16_0_18_0|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_16_0_18_0_c --> h_c+dag_hs_16_0_18_0_c+mi145p_c
1126 AGPAT1_16_0_18_1|Expanded DAG metabolism::odecoa_c+alpha_hs_16_0_c --> pa_hs_16_0_18_1_c+coa_c
1127 PPAP_16_0_18_1|Expanded DAG metabolism::pa_hs_16_0_18_1_c+h2o_c --> pi_c+dag_hs_16_0_18_1_c
1128 CEPTE_16_0_18_1|Expanded Phospholipid metabolism::cdpea_c+dag_hs_16_0_18_1_c --> cmp_c+pe_hs_16_0_18_1_c+h_c
1129 PSSA2_hs_16_0_18_1|Expanded Phospholipid metabolism::pe_hs_16_0_18_1_c+ser_L_c --> etha_c+ps_hs_16_0_18_1_c
1130 PSSA2_hs_16_0_18_1|Expanded Phospholipid metabolism_reverse::etha_c+ps_hs_16_0_18_1_c --> pe_hs_16_0_18_1_c+ser_L_c
1131 PSSA1_hs_16_0_18_1|Expanded Phospholipid metabolism::chol_c+ps_hs_16_0_18_1_c --> ser_L_c+pchol_hs_16_0_18_1_c
1132 PSSA1_hs_16_0_18_1|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_16_0_18_1_c --> chol_c+ps_hs_16_0_18_1_c
1133 CEPTC_16_0_18_1|Expanded Phospholipid metabolism::cdpchol_c+dag_hs_16_0_18_1_c --> cmp_c+h_c+pchol_hs_16_0_18_1_c
1134 PLA2_2_16_0_18_1|Expanded Phospholipid metabolism::h2o_c+pchol_hs_16_0_18_1_c --> ocdcea_c+lpchol_hs_16_0_c+h_c
1135 DAGK_hs_16_0_18_1|Expanded DAG metabolism::pa_hs_16_0_18_1_c+h_c+adp_c --> atp_c+dag_hs_16_0_18_1_c
1136 DAGK_hs_16_0_18_1|Expanded DAG metabolism_reverse::atp_c+dag_hs_16_0_18_1_c --> pa_hs_16_0_18_1_c+h_c+adp_c
1137 LPS2_16_0_18_1|Expanded DAG metabolism::h2o_c+dag_hs_16_0_18_1_c --> ocdcea_c+mag_hs_16_0_c+h_c
1138 CDS_16_0_18_1|Expanded Glycerophospholipid metabolism::pa_hs_16_0_18_1_c+ctp_c+h_c --> ppi_c+cdpdag_hs_16_0_18_1_c
1139 CDIPTr_16_0_18_1|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_16_0_18_1_c --> cmp_c+h_c+pail_hs_16_0_18_1_c
1140 PIPLC_16_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_16_0_18_1_c --> mi1p_D_c+h_c+dag_hs_16_0_18_1_c
1141 PIK4_16_0_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_16_0_18_1_c --> pail4p_hs_16_0_18_1_c+h_c+adp_c
1142 PI4PLC_16_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_16_0_18_1_c --> h_c+mi14p_c+dag_hs_16_0_18_1_c
1143 PI4P3K_16_0_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_16_0_18_1_c --> pail34p_hs_16_0_18_1_c+h_c+adp_c
1144 PI34P5K_16_0_18_1|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_16_0_18_1_c --> h_c+adp_c+pail345p_hs_16_0_18_1_c
1145 PI4P5K_16_0_18_1|Expanded Glycerophospholipid metabolism::pail45p_hs_16_0_18_1_c+atp_c --> h_c+adp_c+pail345p_hs_16_0_18_1_c
1146 PI345P3P_16_0_18_1|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_16_0_18_1_c --> pail45p_hs_16_0_18_1_c+pi_c
1147 PI45PLC_16_0_18_1|Expanded Glycerophospholipid metabolism::pail45p_hs_16_0_18_1_c+h2o_c --> h_c+mi145p_c+dag_hs_16_0_18_1_c
1148 AGPAT1_16_0_18_2|Expanded DAG metabolism::lnlccoa_c+alpha_hs_16_0_c --> coa_c+pa_hs_16_0_18_2_c
1149 PPAP_16_0_18_2|Expanded DAG metabolism::h2o_c+pa_hs_16_0_18_2_c --> pi_c+dag_hs_16_0_18_2_c
1150 CEPTE_16_0_18_2|Expanded Phospholipid metabolism::cdpea_c+dag_hs_16_0_18_2_c --> pe_hs_16_0_18_2_c+cmp_c+h_c
1151 PSSA2_hs_16_0_18_2|Expanded Phospholipid metabolism::pe_hs_16_0_18_2_c+ser_L_c --> etha_c+ps_hs_16_0_18_2_c
1152 PSSA2_hs_16_0_18_2|Expanded Phospholipid metabolism_reverse::etha_c+ps_hs_16_0_18_2_c --> pe_hs_16_0_18_2_c+ser_L_c
1153 PSSA1_hs_16_0_18_2|Expanded Phospholipid metabolism::chol_c+ps_hs_16_0_18_2_c --> ser_L_c+pchol_hs_16_0_18_2_c
1154 PSSA1_hs_16_0_18_2|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_16_0_18_2_c --> chol_c+ps_hs_16_0_18_2_c
1155 CEPTC_16_0_18_2|Expanded Phospholipid metabolism::dag_hs_16_0_18_2_c+cdpchol_c --> cmp_c+h_c+pchol_hs_16_0_18_2_c
1156 PLA2_2_16_0_18_2|Expanded Phospholipid metabolism::h2o_c+pchol_hs_16_0_18_2_c --> lpchol_hs_16_0_c+lnlc_c+h_c
1157 DAGK_hs_16_0_18_2|Expanded DAG metabolism::h_c+adp_c+pa_hs_16_0_18_2_c --> atp_c+dag_hs_16_0_18_2_c
1158 DAGK_hs_16_0_18_2|Expanded DAG metabolism_reverse::atp_c+dag_hs_16_0_18_2_c --> h_c+adp_c+pa_hs_16_0_18_2_c
1159 LPS2_16_0_18_2|Expanded DAG metabolism::h2o_c+dag_hs_16_0_18_2_c --> lnlc_c+mag_hs_16_0_c+h_c
1160 CDS_16_0_18_2|Expanded Glycerophospholipid metabolism::ctp_c+h_c+pa_hs_16_0_18_2_c --> ppi_c+cdpdag_hs_16_0_18_2_c
1161 CDIPTr_16_0_18_2|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_16_0_18_2_c --> cmp_c+pail_hs_16_0_18_2_c+h_c
1162 PIPLC_16_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_16_0_18_2_c --> mi1p_D_c+h_c+dag_hs_16_0_18_2_c
1163 PIK4_16_0_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_16_0_18_2_c --> h_c+adp_c+pail4p_hs_16_0_18_2_c
1164 PI4PLC_16_0_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_16_0_18_2_c --> h_c+dag_hs_16_0_18_2_c+mi14p_c
1165 PI4P3K_16_0_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_16_0_18_2_c --> h_c+pail34p_hs_16_0_18_2_c+adp_c
1166 PI34P5K_16_0_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_16_0_18_2_c --> pail345p_hs_16_0_18_2_c+h_c+adp_c
